"","AMD.Close","GSPC.Close"
"2022-03-21",115.919998,4461.180176
"2022-03-22",114.779999,4511.609863
"2022-03-23",113.919998,4456.240234
"2022-03-24",120.529999,4520.160156
"2022-03-25",119.669998,4543.060059
"2022-03-28",120.239998,4575.52002
"2022-03-29",123.230003,4631.600098
"2022-03-30",119.220001,4602.450195
"2022-03-31",109.339996,4530.410156
"2022-04-01",108.190002,4545.859863
"2022-04-04",110.529999,4582.640137
"2022-04-05",106.82,4525.120117
"2022-04-06",103.669998,4481.149902
"2022-04-07",103.720001,4500.209961
"2022-04-08",101,4488.279785
"2022-04-11",97.370003,4412.529785
"2022-04-12",95.099998,4397.450195
"2022-04-13",97.739998,4446.589844
"2022-04-14",93.059998,4392.589844
"2022-04-18",93.889999,4391.689941
"2022-04-19",96.93,4462.209961
"2022-04-20",94.019997,4459.450195
"2022-04-21",89.849998,4393.660156
"2022-04-22",88.139999,4271.779785
"2022-04-25",90.690002,4296.120117
"2022-04-26",85.160004,4175.200195
"2022-04-27",84.910004,4183.959961
"2022-04-28",89.639999,4287.5
"2022-04-29",85.519997,4131.930176
"2022-05-02",89.839996,4155.379883
"2022-05-03",91.129997,4175.47998
"2022-05-04",99.419998,4300.169922
"2022-05-05",93.870003,4146.870117
"2022-05-06",95.339996,4123.339844
"2022-05-09",86.360001,3991.23999
"2022-05-10",88.730003,4001.050049
"2022-05-11",87.919998,3935.179932
"2022-05-12",87.059998,3930.080078
"2022-05-13",95.120003,4023.889893
"2022-05-16",94.239998,4008.01001
"2022-05-17",102.470001,4088.850098
"2022-05-18",96.279999,3923.679932
"2022-05-19",96.669998,3900.790039
"2022-05-20",93.5,3901.360107
"2022-05-23",95.07,3973.75
"2022-05-24",91.160004,3941.47998
"2022-05-25",92.650002,3978.72998
"2022-05-26",98.75,4057.840088
"2022-05-27",102.260002,4158.240234
"2022-05-31",101.860001,4132.149902
"2022-06-01",101.220001,4101.22998
"2022-06-02",108.589996,4176.819824
"2022-06-03",106.300003,4108.540039
"2022-06-06",105.650002,4121.430176
"2022-06-07",105.279999,4160.680176
"2022-06-08",101.900002,4115.77002
"2022-06-09",98.800003,4017.820068
"2022-06-10",94.82,3900.860107
"2022-06-13",86.989998,3749.629883
"2022-06-14",86.989998,3735.47998
"2022-06-15",89.300003,3789.98999
"2022-06-16",82.050003,3666.77002
"2022-06-17",81.57,3674.840088
"2022-06-21",83.790001,3764.790039
"2022-06-22",83.75,3759.889893
"2022-06-23",82.43,3795.72998
"2022-06-24",87.080002,3911.73999
"2022-06-27",86.160004,3900.110107
"2022-06-28",80.779999,3821.550049
"2022-06-29",77.989998,3818.830078
"2022-06-30",76.470001,3785.379883
"2022-07-01",73.669998,3825.330078
"2022-07-05",75.199997,3831.389893
"2022-07-06",75.349998,3845.080078
"2022-07-07",79.300003,3902.620117
"2022-07-08",79.349998,3899.379883
"2022-07-11",76.949997,3854.429932
"2022-07-12",76.360001,3818.800049
"2022-07-13",77.519997,3801.780029
"2022-07-14",78.599998,3790.379883
"2022-07-15",81.110001,3863.159912
"2022-07-18",81.43,3830.850098
"2022-07-19",85.879997,3936.689941
"2022-07-20",89.43,3959.899902
"2022-07-21",91.089996,3998.949951
"2022-07-22",88.099998,3961.629883
"2022-07-25",87.540001,3966.840088
"2022-07-26",85.25,3921.050049
"2022-07-27",89.82,4023.610107
"2022-07-28",91.669998,4072.429932
"2022-07-29",94.470001,4130.290039
"2022-08-01",96.779999,4118.629883
"2022-08-02",99.290001,4091.189941
"2022-08-03",98.089996,4155.169922
"2022-08-04",103.910004,4151.939941
"2022-08-05",102.309998,4145.189941
"2022-08-08",100.07,4140.060059
"2022-08-09",95.540001,4122.470215
"2022-08-10",99.050003,4210.240234
"2022-08-11",98.120003,4207.27002
"2022-08-12",100.830002,4280.149902
"2022-08-15",101.010002,4297.140137
"2022-08-16",100.199997,4305.200195
"2022-08-17",98.269997,4274.040039
"2022-08-18",100.440002,4283.740234
"2022-08-19",95.949997,4228.47998
"2022-08-22",92.839996,4137.990234
"2022-08-23",92.489998,4128.72998
"2022-08-24",92.730003,4140.77002
"2022-08-25",97.18,4199.120117
"2022-08-26",91.18,4057.659912
"2022-08-29",88.489998,4030.610107
"2022-08-30",86.940002,3986.159912
"2022-08-31",84.870003,3955
"2022-09-01",82.330002,3966.850098
"2022-09-02",80.239998,3924.26001
"2022-09-06",78.720001,3908.189941
"2022-09-07",79.610001,3979.870117
"2022-09-08",82.779999,4006.179932
"2022-09-09",85.449997,4067.360107
"2022-09-12",84.639999,4110.410156
"2022-09-13",77.029999,3932.689941
"2022-09-14",77.449997,3946.01001
